id,LST,NDVI,IBI,MNDWI
133,36.33713,0.66730,-0.20062,-0.42369
134,37.97192,0.59309,-0.09045,-0.47217
135,41.91816,0.27603,0.09174,-0.45366
136,36.02278,0.66748,-0.18869,-0.44102
137,40.60038,0.56628,-0.10339,-0.43285
138,37.21885,0.69296,-0.18283,-0.46520
139,35.48044,0.61750,-0.13158,-0.45206
140,44.04570,0.16303,0.07553,-0.32956
141,41.46692,0.34814,0.00370,-0.42984
142,35.55521,0.72410,-0.25097,-0.42163
143,43.44504,0.51980,-0.07223,-0.43975
144,40.64962,0.34182,-0.00791,-0.36069
145,36.18425,0.63877,-0.26226,-0.32006
146,40.70700,0.53052,-0.10876,-0.40345
147,37.27514,0.62211,-0.18322,-0.39925
148,37.46762,0.60179,-0.11685,-0.46439
149,41.77891,0.47042,-0.00031,-0.45902
150,40.29977,0.51048,-0.04715,-0.44314
151,37.28086,0.56510,-0.09759,-0.45537
152,36.33073,0.70276,-0.22422,-0.43101
153,35.31031,0.65596,-0.19556,-0.41186
154,39.15430,0.35300,-0.02632,-0.37442
155,40.97604,0.57371,-0.17722,-0.38732
156,40.24984,0.37418,-0.00900,-0.37685
157,39.77498,0.53068,-0.11952,-0.38658
158,32.40914,-0.14818,-0.36552,0.64206
159,40.86863,0.52985,-0.15170,-0.35126
160,,,,
161,38.79721,0.67225,-0.22223,-0.40939
162,40.75190,0.44036,-0.04420,-0.40214
163,40.98243,0.58963,-0.16137,-0.36114
164,49.31808,0.11899,0.07176,-0.26154
165,32.25169,-0.07351,-0.14585,0.32394
166,37.49024,0.55549,-0.11153,-0.41951
167,37.99869,0.56359,-0.12667,-0.42578
168,39.79534,0.55519,-0.09205,-0.45868
169,32.44118,-0.06418,-0.19988,0.37546
170,39.03352,0.62950,-0.15476,-0.45816
171,42.80337,0.22174,0.03874,-0.31989
172,41.33458,0.54083,-0.10282,-0.41752
173,41.11791,0.38533,0.00191,-0.43493
174,50.38238,0.12486,0.07495,-0.28037
175,41.45904,0.41284,0.06175,-0.53184
176,42.54258,0.38600,-0.06204,-0.32026
177,37.40207,0.72758,-0.24514,-0.43894
178,36.39603,0.59083,-0.07662,-0.49971
179,37.44535,0.56397,-0.21929,-0.30507
180,38.39059,0.50732,-0.06423,-0.43071
181,38.46322,0.59959,-0.15556,-0.42478
182,39.01555,0.60939,-0.14725,-0.42063
183,39.92952,0.62810,-0.17059,-0.42144
184,40.82830,0.53763,-0.06551,-0.47839
185,43.42911,0.26299,0.00831,-0.30321
186,35.29217,0.70267,-0.28412,-0.35303
187,36.77260,0.60568,-0.14447,-0.42885
188,36.50798,0.72909,-0.22641,-0.44480
189,40.78847,0.33923,-0.05581,-0.29464
190,39.71829,0.59978,-0.18002,-0.37607
191,40.34872,0.47089,-0.02514,-0.46947
192,36.93292,0.61288,-0.17027,-0.39900
193,40.87064,0.50000,-0.05561,-0.44014
194,38.47809,0.65128,-0.15228,-0.45756
195,37.81188,0.55385,-0.06260,-0.47921
196,36.00792,0.65224,-0.24806,-0.37962
197,44.04324,0.19385,0.08049,-0.36204
198,40.26205,0.62110,-0.13577,-0.46882
199,38.63980,0.69412,-0.20112,-0.44645
200,38.15034,0.63492,-0.15275,-0.46753
201,38.87967,0.52558,-0.04816,-0.47814
202,42.99767,0.13388,0.12537,-0.36561
203,39.99804,0.50955,-0.05357,-0.46341
204,31.53237,-0.16538,-0.35773,0.64427
205,37.34840,0.71031,-0.20276,-0.46021
206,39.21445,0.64003,-0.16024,-0.44713
207,37.70559,0.69860,-0.23639,-0.41438
208,43.41030,0.39446,-0.04615,-0.38726
